3,vessel
4,vessel
4,vessel
5,vessel
5,vessel
5,vessel
8,vessel
9,vessel
9,vessel
10,vessel
12,vessel
27,vessel
31,pipe
33,pipe
34,pipe
35,pipe
37,pipe
40,vessel
47,pipe
47,pipe
51,pipe
51,pipe
51,pipe
51,pipe
52,pipe
53,pipe
56,pipe
57,pipe
59,pipe
60,pipe
60,pipe
65,vessel
65,vessel
70,vessel
70,pipe
74,vessel
80,vessel
87,vessel
88,vessel
90,vessel
92,vessel
101,vessel
112,vessel
112,pipe
112,pipe
116,pipe
116,pipe
116,pipe
117,pipe
117,pipe
117,pipe
117,pipe
120,vessel
121,vessel
123,vessel
124,vessel
125,vessel
127,vessel
131,vessel
133,vessel
133,vessel
137,vessel
139,vessel
90,fire extinguisher
90,fire extinguisher
91,fire extinguisher
91,fire extinguisher
92,fire extinguisher
93,fire extinguisher
94,fire extinguisher
97,fire extinguisher
137,emergency light
