Section 7,2,6
Section 8,7,12
Section 9,13,24
Section 10,25,40
Section 11,41,45
Section 12,46,60
Section 13,61,63
Section 14,64,72
Section 15,73,85
Section 16,86,88
Section 17,89,99
Section 18,100,102
Section 19,103,106
Section 20,107,113
Section 21,114,118
Section 22,119,121
Section 23,122,128
Section 24,129,137
Section 25,138,139
