 "class" , "classLabel" , "subClassOf" , "subClassOfLabel" ,
 "https://www.sdir.no/SDIR_Simulator#TransportableSignallingLamp" , "Transportable signalling lamp" , "https://www.sdir.no/SDIR_Simulator#SignallingLamp" , "Signalling lamp" ,
 "https://www.sdir.no/SDIR_Simulator#Fireplace" , "Fireplace" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#SpeedMeasuringDevice" , "Speed measuring device" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#RadioWatch" , "Radio watch" , "https://www.sdir.no/SDIR_Simulator#Role" , "Role" ,
 "https://www.sdir.no/SDIR_Simulator#Steel" , "Steel" , "https://www.sdir.no/SDIR_Simulator#NonCombustibleMaterial" , "Non-combustible material" ,
 "https://www.sdir.no/SDIR_Simulator#FreeingPort" , "Freeing port" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#FreeingPort" , "Freeing port" , "https://www.sdir.no/SDIR_Simulator#FreeingPortArea" , "Freeing port area" ,
 "https://www.sdir.no/SDIR_Simulator#Bulwark" , "Bulwark" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#ClosingValve" , "Closing valve" , "https://www.sdir.no/SDIR_Simulator#Valve" , "Valve" ,
 "https://www.sdir.no/SDIR_Simulator#Lifejackets" , "Lifejackets" , "https://www.sdir.no/SDIR_Simulator#LifeSavingAppliances" , "Life saving appliances" ,
 "https://www.sdir.no/SDIR_Simulator#Gas" , "Gas" , "https://www.sdir.no/SDIR_Simulator#PowerSource" , "Power source" ,
 "https://www.sdir.no/SDIR_Simulator#Gas" , "Gas" , "https://www.sdir.no/SDIR_Simulator#Substance" , "Substance" ,
 "https://www.sdir.no/SDIR_Simulator#RadioInstallation" , "Radio installation" , "https://www.sdir.no/SDIR_Simulator#Radio" , "Radio" ,
 "https://www.sdir.no/SDIR_Simulator#ExternalOpenings" , "External openings" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#Role" , "Role" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#FixedLight" , "Fixed light" , "https://www.sdir.no/SDIR_Simulator#Lights" , "Lights" ,
 "https://www.sdir.no/SDIR_Simulator#Nitrocellulose" , "Nitrocellulose" , "https://www.sdir.no/SDIR_Simulator#Material" , "Material" ,
 "https://www.sdir.no/SDIR_Simulator#GreaterInShore" , "Greater than in-shore" , "https://www.sdir.no/SDIR_Simulator#TradeArea" , "Trade area" ,
 "https://www.sdir.no/SDIR_Simulator#Varnish" , "Varnish" , "https://www.sdir.no/SDIR_Simulator#Material" , "Material" ,
 "https://www.sdir.no/SDIR_Simulator#RecreationalCraft" , "Recreational craft" , "https://www.sdir.no/SDIR_Simulator#Ship" , "Ship" ,
 "https://www.sdir.no/SDIR_Simulator#OilGaugeGlass" , "Oil gauge glass" , "https://www.sdir.no/SDIR_Simulator#Instrument" , "Instrument" ,
 "https://www.sdir.no/SDIR_Simulator#Binocular" , "Binocular" , "https://www.sdir.no/SDIR_Simulator#NavigationEquipment" , "Navigation equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Bow" , "Bow" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#Bow" , "Bow" , "https://www.sdir.no/SDIR_Simulator#Placement" , "Placement" ,
 "https://www.sdir.no/SDIR_Simulator#Whistle" , "Whistle" , "https://www.sdir.no/SDIR_Simulator#SoundSignalApparatuses" , "Sound signal apparatuses" ,
 "https://www.sdir.no/SDIR_Simulator#DistressSignal" , "Distress signal" , "https://www.sdir.no/SDIR_Simulator#DistressSignalEquipment" , "Distress signal equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Cargo" , "Cargo" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#FixedBench" , "Fixed bench" , "https://www.sdir.no/SDIR_Simulator#Placement" , "Placement" ,
 "https://www.sdir.no/SDIR_Simulator#HandFlare" , "Hand flare" , "https://www.sdir.no/SDIR_Simulator#DistressSignalEquipment" , "Distress signal equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Klaxon" , "Klaxon" , "https://www.sdir.no/SDIR_Simulator#SoundSignalApparatuses" , "Sound signal apparatuses" ,
 "https://www.sdir.no/SDIR_Simulator#Fuel" , "Fuel" , "https://www.sdir.no/SDIR_Simulator#PowerSource" , "Power source" ,
 "https://www.sdir.no/SDIR_Simulator#Bilge" , "Bilge" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#OverflowSystem" , "Overflow system" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#PrismaticBinocular" , "Prismatic binocular" , "https://www.sdir.no/SDIR_Simulator#Binocular" , "Binocular" ,
 "https://www.sdir.no/SDIR_Simulator#SmokeSignal" , "Smoke signal" , "https://www.sdir.no/SDIR_Simulator#DistressSignalEquipment" , "Distress signal equipment" ,
 "https://www.sdir.no/SDIR_Simulator#ElectricalCompany" , "Electrical company" , "https://www.sdir.no/SDIR_Simulator#Company" , "Company" ,
 "https://www.sdir.no/SDIR_Simulator#OilPipe" , "Oil pipe" , "https://www.sdir.no/SDIR_Simulator#Pipe" , "Pipe" ,
 "https://www.sdir.no/SDIR_Simulator#Tank" , "Tank" , "https://www.sdir.no/SDIR_Simulator#Placement" , "Placement" ,
 "https://www.sdir.no/SDIR_Simulator#Packaging" , "Packaging" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Helsman" , "Helsman" , "https://www.sdir.no/SDIR_Simulator#Role" , "Role" ,
 "https://www.sdir.no/SDIR_Simulator#AdhersiveNote" , "Adhersive note" , "https://www.sdir.no/SDIR_Simulator#Poster" , "Poster" ,
 "https://www.sdir.no/SDIR_Simulator#Ship" , "Ship" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#Reciever" , "Reciever" , "https://www.sdir.no/SDIR_Simulator#RadioEquipment" , "Radio equipment" ,
 "https://www.sdir.no/SDIR_Simulator#MeansOfClosure" , "Means of closure" , "https://www.sdir.no/SDIR_Simulator#ExternalOpenings" , "External openings" ,
 "https://www.sdir.no/SDIR_Simulator#SurvivalCraft" , "Survival craft" , "https://www.sdir.no/SDIR_Simulator#LifeSavingAppliances" , "Life saving appliances" ,
 "https://www.sdir.no/SDIR_Simulator#StabilityPoster" , "Stability poster" , "https://www.sdir.no/SDIR_Simulator#StabilityDocumentation" , "Stability documentation" ,
