53,outlet shall,NN,MD
54,smoke uptake,NN,NN
54,carry along,VBN,IN
54,bulkhead shall,NN,MD
54,non-combustible material,JJ,NN
55,smoke uptake,NNP,NNS
55,uptake shall,NNS,MD
55,place close,VBN,JJR
55,insulate bulkhead,VBN,NNS
56,smoke uptake,NN,NN
56,saucer form,NN,VBN
56,form rockwool,VBN,NN
56,mineral wool,JJ,JJ
56,wool twine,JJ,NN
56,centimetre thickness,JJ,NN
56,insulate bulkhead,VBN,NN
57,exhaust manifold,VBP,NN
57,exhaust pipe,NN,NNS
57,cause ignition,VB,NN
59,exhaust pipe,JJ,NNS
59,pipe shall,NNS,MD
59,combustible material,JJ,NN
60,oil pipe,NN,NNS
60,pipe shall,NNS,MD
60,possible away,JJ,RB
60,exhaust pipe,JJ,NNS
60,hot engine,JJ,NN
60,engine part,NN,NNS
62,non-combustible material,JJ,JJ
62,material non-combustible,JJ,JJ
62,non-combustible material,JJ,NN
62,material mean,NN,VBZ
62,ftp code,NNP,NNP
62,qualify material,VBG,NNS
63,insulation shall,NN,MD
63,fire-insulating effect,JJ,NN
63,galvanized steel,JJ,NN
65,machinery space,NN,NNS
65,wooden vessel,JJ,NNS
65,machinery space,NN,NNS
65,wooden vessel,JJ,NNS
65,vessel shall,NNS,MD
65,aluminium plate,NN,NNS
66,machinery space,NN,NNS
66,space shall,NNS,MD
66,non-combustible material,JJ,NN
66,approve fire-extinguishing,VBN,NN
66,fire-extinguishing system,NN,NN
67,machinery space,NN,NNS
67,space without,NNS,IN
67,without inside,IN,IN
67,inside planking,IN,NN
67,wooden casing,JJ,NNS
67,bulkhead forward,NNS,NNS
67,machinery space,NN,NN
67,space shall,NN,MD
67,non-combustible material,JJ,NN
68,machinery space,NN,NNS
68,inside planking,JJ,NN
68,woodwork shall,VBP,MD
68,non-combustible material,JJ,NN
68,low edge,JJR,NN
69,require behind,VBN,IN
69,behind fuel,IN,JJ
69,fuel oil,JJ,NN
69,oil tank,NN,NNS
69,fit tightly,VBN,RB
69,tightly around,RB,IN
70,separate compartment,JJ,NN
70,combustible material,JJ,NN
70,exhaust manifold,JJ,NNS
70,exhaust pipe,JJ,NNS
71,non-combustible material,JJ,NN
72,engine cover,NN,NN
72,galvanized steel,JJ,NN
72,aluminium sheet,JJ,NN
74,fire-extinguishing system,VBG,NNS
74,machinery space,NN,NNS
74,overall length,JJ,NN
74,length shall,NN,MD
74,fire-extinguishing system,JJ,NN
75,fire-extinguishing system,JJ,NN
75,system shall,NN,MD
75,manual release,JJ,NN
76,extinguish medium,VBG,NN
76,medium shall,NN,MD
76,approved type,JJ,NN
77,extinguish medium,VBG,NN
77,individual case,JJ,NN
77,case depend,NN,VBG
77,machinery space,NN,NN
78,fire-extinguishing system,JJ,NN
78,system shall,NN,MD
78,position outside,NN,IN
78,machinery space,NN,NN
79,release equipment,NN,NN
79,equipment shall,NN,MD
79,clearly mark,RB,VBN
79,unintentional release,JJ,NN
80,overall length,JJ,NN
80,length construct,NN,VBD
80,fire-extinguishing system,JJ,NN
80,guideline lay,NNS,VBN
80,nordic boat,NNP,NNP
80,boat standard,NNP,NNP
81,extinguish gas,VBG,NN
81,appurtenant release,JJ,NN
81,release device,NN,NN
81,machinery space,NN,NN
82,gastight bulkheads,NNP,VBZ
82,bulkheads shall,VBZ,MD
82,adjacent space,JJ,NNS
82,open deck,JJ,NN
83,alarm signal,NN,NN
83,signal shall,NN,MD
83,activate automatically,VBN,RB
84,machinery space,NN,NN
85,open air,JJ,NN
87,fire detection,NNP,NN
87,alarm system,NN,NN
87,overall length,JJ,NN
87,fire detection,VBN,NN
87,detection system,NN,NN
87,fire alarm,NN,NN
87,alarm system,NN,NN
87,machinery space,NN,NNS
87,smoke alarm,VB,NN
87,alarm system,NN,NN
88,overall length,JJ,NN
88,length shall,NN,MD
88,least one,JJS,CD
88,one smoke,CD,NN
88,smoke detector,NN,NN
88,one heat,CD,NN
88,heat detector,NN,NN
88,machinery space,NN,NNS
88,least one,JJS,CD
88,one smoke,CD,NN
88,smoke detector,NN,NN
88,recreational space,JJ,NNS
88,least one,JJS,CD
88,one smoke,CD,NN
88,smoke detector,NN,NN
90,fire extinguisher,NN,NNS
90,least two,JJS,CD
90,two approve,CD,VBD
90,approve fire,VBD,NN
90,fire extinguisher,NN,NNS
91,least one,JJS,CD
91,one approve,CD,VBD
91,approve fire,VBD,NN
91,fire extinguisher,NN,NN
91,extinguisher shall,NN,MD
91,suitable place,JJ,NN
91,place outside,NN,IN
91,machinery space,NN,NN
91,least one,JJS,CD
91,one approve,CD,VBD
91,approve fire,VBD,NN
91,fire extinguisher,NN,NN
91,extinguisher shall,NN,MD
91,accommodation space,NN,NNS
92,vessel without,NNS,IN
92,without wheelhouse,IN,NN
92,accommodation space,NN,NNS
92,space one,NNS,CD
92,one fire,CD,NN
92,fire extinguisher,NN,NN
93,fire extinguisher,NN,NNS
93,pressurised extinguish,JJ,VBG
93,extinguish medium,VBG,NN
93,medium shall,NN,MD
93,accommodation space,NN,NNS
94,fire extinguisher,NN,NNS
94,frost shall,VB,MD
94,frost-proof type,JJ,NN
95,least one,JJS,CD
95,one spare,CD,JJ
95,spare charge,JJ,NN
95,charge shall,NN,MD
96,extinguisher shall,NNS,MD
96,per cent,IN,NN
97,fire extinguisher,NN,NNS
97,extinguisher shall,NNS,MD
97,inspect annually,VBN,RB
98,inspection shall,NN,MD
101,ventilation system,NN,NNS
101,machinery space,NN,NN
101,space shall,NN,MD
101,least two,JJS,CD
101,two ventilator,CD,NNS
101,ventilator capable,NNS,JJ
102,cabin shall,NNS,MD
102,least two,JJS,CD
102,two ventilator,CD,NNS
106,nitrocellulose basis,JJ,NN
106,readily ignite,VB,NNS
106,use anywhere,VBN,RB
108,oil fuel,NN,NN
108,flammable liquid,JJ,NNS
108,oil fuel,NN,NN
108,fuel shall,NN,MD
108,equivalent material,JJ,NN
109,oil fuel,NN,NN
109,fuel tank,NN,NNS
109,tank shall,NNS,MD
109,closing valve,NN,NN
110,test cock,NN,NNS
110,oil gauge,NN,NN
110,gauge glass,NN,NN
110,glass shall,NN,MD
110,self-closing type,JJ,NN
111,tank shall,NN,MD
111,drip tray,NN,NNS
112,decked vessel,JJ,NNS
112,machinery space,NN,NN
112,fill pipe,VBG,NNS
112,air pipe,VBG,NNS
112,pipe shall,NNS,MD
112,open air,JJ,NN
113,extra fuel,JJ,NN
113,flammable liquid,JJ,NNS
113,open deck,JJ,NN
113,suitable container,JJ,NNS
113,door communicate,NN,VBG
113,open deck,JJ,NN
113,without electrical,IN,JJ
116,seawater pipe,NNP,NNS
116,bilge pipe,NN,NNS
116,pipe convey,NNS,VBG
116,convey oil,VBG,NN
116,pipeline require,NNS,VBN
116,ship shall,NN,MD
116,non-combustible material,JJ,NN
117,flexible pipe,JJ,NN
117,pipe connection,NN,NNS
117,connection make,NNS,VBN
117,easily render,RB,VBN
117,render ineffective,VBN,JJ
117,seawater pipe,NN,NNS
117,flexible pipe,JJ,NN
117,pipe connection,NN,NNS
117,pipe convey,NNS,VBG
117,convey oil,VBG,NN
118,material due,NN,JJ
118,sanitary discharge,JJ,NNS
118,waterline shall,NN,MD
118,reinforced material,JJ,NNS
118,easily damage,RB,VBN
120,pip system,VBG,NNS
120,vessel construct,NNS,VBN
120,shall satisfy,MD,VB
120,nordic boat,NNP,NNP
120,boat standard,NNP,NNP
120,bilge system,JJ,NNS
120,oil fuel,NN,NN
120,fuel system,NN,NNS
120,engine installation,NN,NNS
120,propeller arrangement,NN,NNS
121,vessel construct,NNS,VBN
121,possible satisfy,JJ,NN
121,nordic boat,NNP,NNP
121,boat standard,NNP,NNP
121,bilge system,NN,NNS
123,electrical installation,JJ,NNS
123,overall length,JJ,NN
123,length construct,NN,VBD
123,electrical installation,JJ,NNS
123,voltage shall,NN,MD
123,shall satisfy,MD,VB
123,nordic boat,NNP,NNP
123,boat standard,NNP,NNP
123,electrical installation,JJ,NNS
124,overall length,JJ,NN
124,length construct,NN,VBD
124,electrical installation,JJ,NNS
124,voltage shall,NN,MD
125,overall length,JJ,NN
125,length construct,NN,VBD
125,electrical installation,JJ,NNS
125,voltage shall,NN,MD
125,shall satisfy,MD,VB
125,requirement lay,NNS,VBD
125,repealed regulation,JJ,NNS
126,electrical installation,JJ,NNS
126,maritime installation,NNP,NNS
127,overall length,JJ,NN
127,length construct,NN,VBD
127,electrical installation,JJ,NNS
127,voltage shall,NN,MD
127,shall satisfy,MD,VB
127,requirement lay,NNS,VBD
128,concern maritime,VBG,JJ
128,maritime electrical,JJ,JJ
128,electrical installation,JJ,NNS
128,norwegian directorate,JJ,NNP
128,civil protection,NNP,NNP
130,emergency source,NNP,NN
130,emergency lighting,NN,NN
131,overall length,JJ,NN
131,length construct,NN,VBD
131,emergency source,NN,NN
131,power provide,NN,VBG
131,provide satisfactory,VBG,JJ
131,satisfactory light,JJ,VBG
131,life-saving appliance,JJ,NNS
131,launch arrangement,VBG,NNS
131,life-saving appliance,JJ,NNS
131,life-saving appliance,JJ,NNS
131,necessary navigation,JJ,NN
131,navigation light,NN,NNS
131,require alarm,VBN,NN
131,alarm system,NN,NN
132,emergency power,NN,NN
132,power shall,NN,MD
132,following two,JJ,CD
132,two source,CD,NNS
132,accumulator battery,NN,NN
132,battery capable,NN,JJ
132,load pursuant,NN,NN
132,first paragraph,JJ,NN
132,paragraph without,NN,IN
132,without recharge,IN,VBG
132,excessive voltage,JJ,NN
132,voltage drop,NN,NN
132,automatically connect,RB,VBN
132,emergency switchboard,NN,NN
132,main power,JJ,NN
132,power fails,NN,NNS
132,generator drive,NN,VBN
132,suitable type,JJ,NN
132,power machinery,NN,NN
132,independent supply,JJ,NN
132,appropriate start,JJ,VBG
132,start arrangement,VBG,NNS
133,entire installation,JJ,NN
133,installation shall,NN,MD
133,operate even,VBG,RB
